domain,method,feature,feature_group,rank,score
plasticc,gain,i_time_of_peak,temporal,10,8.516940116882324
plasticc,gain,r_std_flux,variability,11,8.494811058044434
plasticc,gain,z_std_flux,variability,12,7.8854851722717285
plasticc,gain,i_std_flux,variability,13,7.681794166564941
plasticc,gain,i_peak_flux,brightness,14,7.530323028564453
plasticc,gain,r_peak_flux,brightness,15,6.704318046569824
plasticc,gain,i_amplitude,variability,16,6.539338111877441
plasticc,permutation,time_span,temporal,1,0.11270843931340249
plasticc,permutation,peak_color_g_minus_r,color,2,0.0611638718663496
plasticc,permutation,r_mean_flux,brightness,3,0.060933640422577054
plasticc,permutation,peak_color_i_minus_z,color,4,0.056348601254376705
plasticc,permutation,peak_color_r_minus_i,color,5,0.04667562259863178
plasticc,permutation,z_time_of_peak,temporal,6,0.045780159325443395
plasticc,permutation,z_peak_flux,brightness,7,0.04386729662260325
plasticc,permutation,g_mean_flux,brightness,8,0.03213011188932384
plasticc,permutation,r_std_flux,variability,9,0.030638636714297052
plasticc,permutation,i_std_flux,variability,10,0.02867074300560053
plasticc,permutation,r_time_of_peak,temporal,11,0.018707801125321333
plasticc,permutation,z_std_flux,variability,12,0.018408041596602365
plasticc,permutation,i_time_of_peak,temporal,13,0.017438183092164584
plasticc,permutation,r_peak_flux,brightness,14,0.011925589902254296
plasticc,permutation,i_peak_flux,brightness,15,0.008126185086934213
plasticc,permutation,i_amplitude,variability,16,0.006931820465812755
plasticc,ablation,peak_color_g_minus_r,color,1,0.01964922744072012
plasticc,ablation,peak_color_r_minus_i,color,2,0.01932823553350152
plasticc,ablation,g_mean_flux,brightness,3,0.017277025214773055
plasticc,ablation,peak_color_i_minus_z,color,4,0.01485103319510574
plasticc,ablation,r_time_of_peak,temporal,5,0.014362793846935062
plasticc,ablation,r_peak_flux,brightness,6,0.013515415212739912
plasticc,ablation,z_time_of_peak,temporal,7,0.01329701946745065
plasticc,ablation,i_peak_flux,brightness,8,0.013221360528010994
plasticc,ablation,z_std_flux,variability,9,0.011520537644266943
plasticc,ablation,i_std_flux,variability,10,0.0104403632925536
plasticc,ablation,r_std_flux,variability,11,0.010117389015551186
plasticc,ablation,i_time_of_peak,temporal,12,0.01005439415171136
plasticc,ablation,r_mean_flux,brightness,13,0.008528790793863483
plasticc,ablation,z_peak_flux,brightness,14,0.00757296346664571
plasticc,ablation,i_amplitude,variability,15,0.005024451569942567
plasticc,ablation,time_span,temporal,16,0.00031678641490689996
